Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1
Saint James Preschool (Episcopal Church),Private,-2,-1,PK,Independent / Private,CDC130,3,4,CDC,380500619,"4620 CALIFORNIA ST, SAN FRANCISCO, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.784939, -122.467201)"
Maria Montessori School Of The Golden Gate,Private,-2,-1,PK,Independent / Private,CDC086,3,4,CDC,380506275,"62 LENOX WAY, SAN FRANCISCO, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.7426, -122.46521)"
Ucsf - Marilyn Reed Lucia Child Care Study Center,Private,-2,-1,PK,Independent / Private,CDC149,3,4,CDC,384002158,"610 PARNASSUS AVE, SAN FRANCISCO, CA 94143",5,06075,SAN FRANCISCO,"CA
(37.7631, -122.460121)"
"King, Thomas Starr King Elementary / Preschool",SFUSD,-2,5,PK-5,"USD PreK, Grades K-5",PS056,3,10,PS,38684786041602,"1215 CAROLINA ST, SAN FRANCISCO, CA 94107",10,06075,SAN FRANCISCO,"CA
(37.753288, -122.399193)"
Jewish Community Center San Francisco - Brotherhood Way Preschool,Private,-2,-1,PK,Independent / Private,CDC056,3,4,CDC,380500086,"655 BROTHERHOOD WAY, SAN FRANCISCO, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.713123, -122.475296)"
Kids Kollege Preschool,Private,-2,-1,PK,Independent / Private,CDC067,3,4,CDC,380505246,"3939 LAWTON ST, SAN FRANCISCO, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.756462, -122.505241)"
"Lick, James Lick Middle School",SFUSD,6,8,6-8,USD Grades 6-8,PS063,11,13,PS,38684786062053,"1220 NOE ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.749363, -122.432785)"
Mission Neighborhood Centers - Bernal Dwellings Child Development,Private,-2,-1,PK,Independent / Private,CDC099,3,4,CDC,384001017,"3185 26TH ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.748848, -122.41262)"
El Dorado Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS028,5,10,PS,38684786040950,"70 DELTA ST, San Francisco, CA 94134",10,06075,SAN FRANCISCO,"CA
(37.718658, -122.407852)"
Alt School - Yerba Buena,Private,-1,8,TK-8,Independent / Private,IND208,4,13,IND,,"300 04TH ST, SAN FRANCISCO, CA 94107",6,06075,SAN FRANCISCO,"CA
(37.781742, -122.401199)"
True Sunshine Preschool Center,Private,-2,-1,PK,Independent / Private,CDC148,3,4,CDC,380504311,"777 STOCKTON ST STE 201, SAN FRANCISCO, CA 94108",3,06075,SAN FRANCISCO,"CA
(37.792976, -122.407844)"
Pomeroy Recreation And Rehabilitation Center,Private,-2,12,PK-12,Independent / Private,IND282,3,17,IND,,"207 SKYLINE BLVD, SAN FRANCISCO, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.729641, -122.501846)"
Brightworks,Private,0,8,K-8,Independent / Private,IND222,5,13,IND,38684786142079,"1900 BRYANT ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.762238, -122.410377)"
Proof School,Private,6,12,6-12,Independent / Private,IND285,11,17,IND,38684786150254,"555 POST ST, SAN FRANCISCO, CA 94102",3,06075,SAN FRANCISCO,"CA
(37.787655, -122.410942)"
Stuart Hall High School,Private,9,12,9-12,Independent / Private,IND330,14,17,IND,38684787104631,"1715 OCTAVIA ST, SAN FRANCISCO, CA 94109",5,06075,SAN FRANCISCO,"CA
(37.788628, -122.427238)"
Edison Charter K-8,SFUSD,0,8,K-8,USD Charter School,PS027,5,13,PS,38684786040935,"3531 22ND ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.754467, -122.426041)"
Mother Goose School,Private,-2,0,PK-K,Independent / Private,IND277,3,5,IND,380504982,"334 28TH AVE, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.783024, -122.487839)"
Saint Vincent De Paul School,Private,-2,8,K-8,Independent / Private,IND309,3,13,IND,38684786980676,"2350 GREEN ST, SAN FRANCISCO, CA 94123",2,06075,SAN FRANCISCO,"CA
(37.796112, -122.437851)"
Our Lady Of The Visitacion School,Private,0,8,K-8,Independent / Private,IND280,5,13,IND,38684786981559,"785 SUNNYDALE AVE, SAN FRANCISCO, CA 94134",10,06075,SAN FRANCISCO,"CA
(37.709122, -122.409546)"
Gateway Middle School,SFUSD,-2,5,PK-5,USD Charter School; PreK-5,PS038,3,10,PS,38684780123265,"1512 GOLDEN GATE AVE, SAN FRANCISCO CA 94115",5,06075,SAN FRANCISCO,"CA
(37.779419, -122.435921)"
Cleveland Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS021,5,10,PS,38684786040836,"455 ATHENS ST, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.720341, -122.429192)"
Holy Name Elementary School,Private,0,8,K-8,Independent / Private,IND251,5,13,IND,38684786981278,"1560 40TH AVE, SAN FRANCISCO, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.75761, -122.498878)"
Drew School,Private,9,12,9-12,Independent / Private,IND237,14,17,IND,38684786939557,"2901 CALIFORNIA ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.787643, -122.442322)"
"Asawa, Ruth Asawa San Francisco School Of The Arts

 / Academy Of Arts And Sciences",SFUSD,9,12,9-12,USD Grades 9-12,PS006,14,17,PS,38684783830387,"555 PORTOLA DR, SAN FRANCISCO CA, 94131",8,06075,SAN FRANCISCO,"CA
(37.745316, -122.44883)"
Kai Ming Head Start - Saint Luke Center,Private,-2,-1,PK,Independent / Private,CDC063,3,4,CDC,384002582,"1755 CLAY ST, SAN FRANCISCO, CA 94109",3,06075,SAN FRANCISCO,"CA
(37.792061, -122.42215)"
Peekadoodle Of San Francisco,Private,-2,-1,PK,Independent / Private,CDC120,3,4,CDC,384002261,"900 NORTH POINT ST STE F100, SAN FRANCISCO, CA 94109",2,06075,SAN FRANCISCO,"CA
(37.805534, -122.423187)"
Glen Park Montessori Preschool,Private,-2,-1,PK,Independent / Private,CDC043,3,4,CDC,384000740,"649 CHENERY ST, SAN FRANCISCO, CA 94131",8,06075,SAN FRANCISCO,"CA
(37.734295, -122.432915)"
Stratford School - San Francisco,Private,-2,8,PK-8,Independent / Private,IND328,3,13,IND,38684786135651,"301 DE MONTFORT AVE, SAN FRANCISCO, CA 94112",7,06075,SAN FRANCISCO,"CA
(37.723126, -122.461632)"
Wu Yee Child Development Center - Bayview,Private,-2,-1,PK,Independent / Private,CDC156,3,4,CDC,384002433,"1601 LANE ST, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.731804, -122.38958)"
Wu Yee Child Development Center - South East,Private,-2,-1,PK,Independent / Private,CDC166,3,4,CDC,384002516,"1300 PHELPS ST, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.737419, -122.393837)"
Economic Opportunity Council Sf - Chinatown Childcare,Private,-2,-1,PK,Independent / Private,CDC026,3,4,CDC,380504308,"715 CHESTNUT ST, SAN FRANCISCO, CA 94134",3,06075,SAN FRANCISCO,"CA
(37.803215, -122.41523)"
Lone Mountain Childrens Center,Private,-2,-1,PK,Independent / Private,CDC083,3,4,CDC,384000944,"1806 BELLES ST, SAN FRANCISCO, CA 94129",2,06075,SAN FRANCISCO,"CA
(37.788681, -122.473633)"
My City School,Private,6,8,6-8,Independent / Private,IND278,11,13,IND,,"199 MUSEUM WAY, SAN FRANCISCO, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.764423, -122.438148)"
Sunnyside Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS111,5,10,PS,38684786041610,"250 FOERSTER ST, San Francisco, CA 94112",7,06075,SAN FRANCISCO,"CA
(37.730293, -122.448257)"
Economic Opportunity Council Sf - Cleo Wallace Childcare,Private,-2,-1,PK,Independent / Private,CDC027,3,4,CDC,380504451,"65 TURNER TER, SAN FRANCISCO, CA 94107",10,06075,SAN FRANCISCO,"CA
(37.755669, -122.394699)"
Little People Preschool ,Private,-2,0,PK-K,Independent / Private,IND266,3,5,IND,384001910,"3595 TARAVAL ST, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.741543, -122.504295)"
Mercy High School,Private,9,12,9-12,Independent / Private,IND273,14,17,IND,38684786939672,"3250 19TH AVE, SAN FRANCISCO, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.7295, -122.473587)"
Saint Anne Elementary School,Private,0,8,K-8,Independent / Private,IND288,5,13,IND,38684786981658,"1320 14TH AVE, SAN FRANCISCO, CA 94122",5,06075,SAN FRANCISCO,"CA
(37.763023, -122.471283)"
Zion Lutheran School,Private,0,8,K-8,Independent / Private,IND340,5,13,IND,38684786980890,"495 09TH AVE, SAN FRANCISCO, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.77924, -122.467636)"
Our Victorian Schoolhouse,Private,-2,-1,PK,Independent / Private,CDC117,3,4,CDC,384001973,"823 DIVISIDERO ST, SAN FRANCISCO, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.777241, -122.438637)"
Nihonmachi Little Friends - Bush St,Private,-2,-1,PK,Independent / Private,CDC113,3,4,CDC,380504390,"2031 BUSH ST, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.78709, -122.430588)"
"Revere, Paul Revere School / Preschool",SFUSD,-2,8,PK-8,USD PreK-8,PS094,3,13,PS,38684786041487,"555 TOMPKINS AVE, San Francisco, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.737614, -122.413116)"
Meadows-Livingstone School,Private,0,6,K-6,Independent / Private,IND272,5,11,IND,38684786909600,"1497 POTRERO AVE STE 1, SAN FRANCISCO, CA 94110",10,06075,SAN FRANCISCO,"CA
(37.749626, -122.404839)"
City College of San Francisco Chinatown North Beach Center,SFCCD,13,14,13-14,Community College District,CC01,18,19,CC,,"808 KEARNY ST, SAN FRANCISCO, CA 94108",7,06075,SAN FRANCISCO,"CA
(37.795555, -122.404701)"
Aptos Middle School,SFUSD,6,8,6-8,USD Grades 6-8,PS003,11,13,PS,38684786062020,"105 APTOS AVE, San Francisco, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.729672, -122.465782)"
Good Samaritan Child Development Center,Private,-2,-1,PK,Independent / Private,CDC047,3,4,CDC,384000227,"1294 POTRERO AVE, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.751873, -122.40657)"
"Lilienthal, Claire Lilienthal (K-2 Madison Campus)",SFUSD,0,8,K-8,USD Grades K-8,PS066,5,13,PS,38684786102479,"3950 SACRAMENTO ST, San Francisco, CA 94118",2,06075,SAN FRANCISCO,"CA
(37.787201, -122.458015)"
Archbishop Riordan High School,Private,9,12,9-12,Independent / Private,IND211,14,17,IND,38684786939730,"175 PHELAN AVE, SAN FRANCISCO, CA 94112",7,06075,SAN FRANCISCO,"CA
(37.727902, -122.453056)"
Martha Hills Learning Center,Private,-2,-1,PK,Independent / Private,CDC094,3,4,CDC,384001666,"1042 JAMESTOWN AVE, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.719162, -122.394241)"
Sunset Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS112,5,10,PS,38684786113997,"1920 41ST AVE, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.750523, -122.499153)"
Wu Yee Child Development Center - New Generation,Private,-2,-1,PK,Independent / Private,CDC163,3,4,CDC,384000921,"700 VELASCO AVE, SAN FRANCISCO, CA 94134",10,06075,SAN FRANCISCO,"CA
(37.710182, -122.418098)"
Presidio Middle School,SFUSD,6,8,6-8,USD Grades 6-8,PS092,11,13,PS,38684786062079,"450 30TH AVE, San Francisco, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.780865, -122.489624)"
Bright Horizons - 2Nd St,Private,-2,4,PK-4,Independent / Private,IND217,3,9,IND,384002149,"303 02ND ST STE 250, SAN FRANCISCO, CA 94107",6,06075,SAN FRANCISCO,"CA
(37.785294, -122.395569)"
Buena Vista Child Care,Private,0,5,K-5,Independent / Private,IND223,5,10,IND,384002230,"3351 23RD ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.753567, -122.42028)"
Wu Yee Child Development Center - Generations,Private,-2,-1,PK,Independent / Private,CDC159,3,4,CDC,380505707,"1010 MONTGOMERY ST, SAN FRANCISCO, CA 94133",3,06075,SAN FRANCISCO,"CA
(37.798492, -122.403709)"
Mission Neighborhood Centers - Southeast Families United Childcare,Private,-2,-1,PK,Independent / Private,CDC104,3,4,CDC,384001834,"1337 EVANS AVE, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.739754, -122.383591)"
Wu Yee Child Development Center - Hunters Point/Kirkwood,Private,-2,-1,PK,Independent / Private,CDC161,3,4,CDC,384002529,"729 KIRKWOOD AVE, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.72887, -122.374405)"
Mission Neighborhood Centers - Mission Bay,Private,-2,-1,PK,Independent / Private,CDC103,3,4,CDC,384001138,"150 BERRY ST, SAN FRANCISCO, CA 94107",6,06075,SAN FRANCISCO,"CA
(37.776493, -122.39299)"
Tenderloin Elementary / Early Education,SFUSD,-2,5,PK-5,"USD PreK-5, Grades K-5",PS115,3,10,PS,38684786115901,"627 TURK ST, San Francisco, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.781796, -122.419777)"
Bay School Of San Francisco,Private,9,12,9-12,Independent / Private,IND214,14,17,IND,38684786138176,"35 KEYES AVE, SAN FRANCISCO, CA 94129",2,06075,SAN FRANCISCO,"CA
(37.800579, -122.455818)"
Lakeside Presbyterian Center For Children,Private,-2,0,PK-K,Independent / Private,IND261,3,5,IND,380500371,"201 EUCALYPTUS DR, SAN FRANCISCO, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.730774, -122.475197)"
Chinese Education Center Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS017,5,10,PS,38684786089569,"657 MERCHANT ST, SAN FRANCISCO, CA 94111",3,06075,SAN FRANCISCO,"CA
(37.794769, -122.40406)"
"Mahler, Theresa S. Mahler Early Education School",SFUSD,-2,-1,PK,USD PreK,CDC085,3,4,CDC,38684780117572,"990 CHURCH ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.755276, -122.428093)"
Saint Philip School,Private,0,8,K-8,Independent / Private,IND305,5,13,IND,38684786980627,"665 ELIZABETH ST, SAN FRANCISCO, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.751759, -122.435539)"
San Francisco Day School,Private,0,8,K-8,Independent / Private,IND314,5,13,IND,38684786915748,"350 MASONIC AVE, SAN FRANCISCO, CA 94118",5,06075,SAN FRANCISCO,"CA
(37.778042, -122.446281)"
"Denman, James Denman Middle School / Leadership Charter High",SFUSD,6,8,6-8,USD Grades 6-8,PS024,11,13,PS,38684786059869,"241 ONEIDA AVE, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.72131, -122.443184)"
Saint Brigid School,Private,0,8,K-8,Independent / Private,IND291,5,13,IND,38684786981682,"2230 FRANKLIN ST, SAN FRANCISCO, CA 94109",2,06075,SAN FRANCISCO,"CA
(37.795147, -122.424759)"
"Harte, Bret Harte Elementary / Early Education",SFUSD,-2,5,PK-5,USD PreK-5,PS043,3,10,PS,38684786040760,"1035 GILMAN AVE, San Francisco, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.717899, -122.389221)"
Rise Institute,Private,0,12,K-12,Independent / Private,IND286,5,17,IND,38684787019417,"1760 CESAR CHAVEZ STE R, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.750324, -122.394058)"
Learning Bridge Preschool,Private,-2,-1,PK,Independent / Private,CDC073,3,4,CDC,384000353,"1050 KIRKHAM ST, SAN FRANCISCO, CA 94122",7,06075,SAN FRANCISCO,"CA
(37.760243, -122.472206)"
Larkin Street Youth Services Academy,SFUSD,7,12,7-12,USD County School,PS060,12,17,PS,,"134 GOLDEN GATE AVE, SAN FRANCISCO CA 94102",6,06075,SAN FRANCISCO,"CA
(37.782265, -122.412987)"
Alt School - Dogpatch 2,Private,-1,2,TK-2,Independent / Private,IND203,4,7,IND,,"610 20TH ST, SAN FRANCISCO, CA 94107",10,06075,SAN FRANCISCO,"CA
(37.760662, -122.387962)"
Immaculate Conception Academy,Private,9,12,9-12,Independent / Private,IND252,14,17,IND,38684786939615,"3625 24TH ST, SAN FRANCISCO, CA 94110",8,06075,SAN FRANCISCO,"CA
(37.751667, -122.423416)"
C5 Childrens School - State Building Center,Private,-2,-1,PK,Independent / Private,CDC009,3,4,CDC,384002299,"455 GOLDEN GATE AVE, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.78104, -122.417915)"
Lowell High School,SFUSD,9,12,9-12,USD Grades 9-12,PS069,14,17,PS,38684783833407,"1101 EUCALYPTUS DR, San Francisco, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.729435, -122.483055)"
Alt School - North Beach,Private,-1,8,TK-8,Independent / Private,IND205,4,13,IND,,"838 KEARNY STREET, SAN FRANCISCO, CA 94108",3,06075,SAN FRANCISCO,"CA
(37.795811, -122.404892)"
Wu Yee Child Development Center - Cadillac,Private,-2,-1,PK,Independent / Private,CDC157,3,4,CDC,384002512,"398 EDDY ST, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.784054, -122.41394)"
"Lilienthal, Claire Lilienthal (3-8 Winfield Scott Campus)",SFUSD,0,8,K-8,USD Grades K-8,PS065,5,13,PS,38684786102479,"3630 DIVISADERO ST, San Francisco, CA 94123",2,06075,SAN FRANCISCO,"CA
(37.80336, -122.443237)"
Lafayette Elementary School,SFUSD,-2,5,PK-5,USD PreK-5                                   ,PS058,3,10,PS,38684786041305,"4545 ANZA ST, San Francisco, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.777069, -122.496887)"
Woodside International School,Private,9,12,9-12,Independent / Private,IND338,14,17,IND,38684787078710,"1555 IRVING ST, SAN FRANCISCO, CA 94122",5,06075,SAN FRANCISCO,"CA
(37.763432, -122.474747)"
Faces Sf Child Development Program - Haight Ashbury/Masonic,Private,-2,-1,PK,Independent / Private,CDC037,3,4,CDC,384002201,"1101 MASONIC AVE, SAN FRANCISCO, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.770889, -122.445869)"
Mission Neighborhood Centers - Capp Head Start,Private,-2,-1,PK,Independent / Private,CDC100,3,4,CDC,380505268,"362 CAPP ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.760986, -122.418495)"
Mission Neighborhood Centers - Jean Jacobs,Private,-2,-1,PK,Independent / Private,CDC102,3,4,CDC,384001206,"459 VIENNA ST, SAN FRANCISCO, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.720951, -122.429695)"
"Jordan, June Jordan High School",SFUSD,9,12,9-12,USD Grades 9-12,PS053,14,17,PS,38684780102103,"325 LA GRANDE AVE, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.719536, -122.425148)"
City College of San Francisco Gough Street Location,SFCCD,13,14,13-14,Community College District,CC06,18,19,CC,,"33 GOUGH ST, SAN FRANCISCO, CA 94103",6,06075,SAN FRANCISCO,"CA
(37.771988, -122.421211)"
"Muir, John Muir Elementary / Early Education",SFUSD,-2,5,PK-5,"USD PreK, Grades K-5",PS083,3,10,PS,38684786041255,"380 WEBSTER ST, San Francisco, CA 94102",5,06075,SAN FRANCISCO,"CA
(37.773758, -122.42868)"
"O'Connell, John O'Connell High School",SFUSD,9,12,9-12,USD Grades 9-12,PS086,14,17,PS,38684783834769,"2355 FOLSOM ST, San Francisco, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.759514, -122.413559)"
Saint Charles School,Private,0,8,K-8,Independent / Private,IND293,5,13,IND,38684786981708,"376 SHOTWELL ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.762322, -122.416443)"
Friends Of Potrero Hill Preschool,Private,-2,-1,PK,Independent / Private,CDC040,3,4,CDC,384002303,"1060 TENNESSEE ST STE A, SAN FRANCISCO, CA 94107",10,06075,SAN FRANCISCO,"CA
(37.75856, -122.389587)"
"Parks, Rosa Parks Japanese Bilingual Bicultural Program / Weill, Raphael Weill  Early Education",SFUSD,0,5,K-5,"USD Grades K-5, PreK-5",PS089,5,10,PS,38684786041503,"1501 OFARRELL ST, San Francisco, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.783009, -122.429504)"
Angelinas Preschool,Private,-2,-1,PK,Independent / Private,CDC004,3,4,CDC,384001103,"1851 NORIEGA ST, SAN FRANCISCO, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.753666, -122.483765)"
Wu Yee Child Development Center - Golden Gate,Private,-2,-1,PK,Independent / Private,CDC160,3,4,CDC,380506088,"177 GOLDEN GATE AVE, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.78167, -122.413559)"
"Brown, Willie Brown Jr Middle School",SFUSD,6,8,6-8,USD Grades 6-8,PS008,11,13,PS,38684780132241,"2055 SILVER AVE, San Francisco, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.736477, -122.399574)"
"Chavez, Cesar Chavez Elementary School / Preschool",SFUSD,-2,5,PK-5,USD PreK-5,PS015,3,10,PS,38684786041149,"825 SHOTWELL ST, San Francisco, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.754921, -122.414879)"
"Feinstein, Dianne Feinstein Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS031,5,10,PS,38684780111427,"2550 25TH AVE, San Francisco, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.739685, -122.481369)"
Monroe Elementary / Excelsior Monroe Early Education,SFUSD,0,5,K-5,USD Grades K-5,PS081,5,10,PS,38684786041446,"260 MADRID ST, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.725399, -122.430489)"
Alt School - Soma,Private,6,8,6-8,Independent / Private,IND207,11,13,IND,38684786148282,"1245 FOLSOM ST, SAN FRANCISCO, CA 94103",6,06075,SAN FRANCISCO,"CA
(37.774181, -122.410484)"
Chinese Immersion School At Deavila,SFUSD,0,4,K-4,USD Grades K-4,PS018,5,9,PS,38684780120386,"1250 WALLER ST, San Francisco, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.769829, -122.444275)"
Living Hope Christian School,Private,0,12,K-12,Independent / Private,IND268,5,17,IND,,"1209 GENEVA AVE, SAN FRANCISCO, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.714336, -122.435829)"
Happy Times Nursery School,Private,-2,-1,PK,Independent / Private,CDC052,3,4,CDC,380503588,"1090 QUINTARA ST, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.748856, -122.476791)"
Voice Of Pentecost Academy,Private,0,12,K-12,Independent / Private,IND334,5,17,IND,38684786938914,"1970 OCEAN AVE, SAN FRANCISCO, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.726364, -122.463974)"
San Miguel Early Education School,SFUSD,-2,5,PK-5,USD PreK-5,PS102,3,10,PS,38684780117481,"300 SENECA AVE, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.721645, -122.44471)"
Ucsf - University Child Care Center - Mission Bay,Private,-2,-1,PK,Independent / Private,CDC152,3,4,CDC,384001586,"1555 6TH ST, SAN FRANCISCO, CA 94158",6,06075,SAN FRANCISCO,"CA
(37.768677, -122.393967)"
Longfellow Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS068,5,10,PS,38684786041362,"755 MORSE ST, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.710423, -122.446739)"
"Webster, Daniel Webster Out-Of-School (OST) Program",SFUSD,0,5,K-5,USD Grades K-5,PS123,5,10,PS,38684786040893,"465 MISSOURI ST, San Francisco, CA 94107",10,06075,SAN FRANCISCO,"CA
(37.760521, -122.395843)"
Mission High School,SFUSD,9,12,9-12,USD Grades 9-12,PS080,14,17,PS,38684783834082,"3750 18TH ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.76202, -122.427307)"
Miraloma Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS078,5,10,PS,38684786041438,"175 OMAR WAY, San Francisco, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.738636, -122.450188)"
Golden Gate Guppies Preschool,Private,-2,-1,PK,Independent / Private,CDC046,3,4,CDC,384002090,"2426 CALIFORNIA ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.789124, -122.434509)"
Lands End School,Private,-2,-1,PK,Independent / Private,CDC071,3,4,CDC,380506270,"4150 CLEMENT ST BLDG T35, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.782593, -122.504578)"
San Francisco Pacific Academy,Private,0,8,K-8,Independent / Private,IND317,5,13,IND,38684786146054,"3301 BALBOA ST, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.775639, -122.494286)"
"Wells, Ida B. Wells High School",SFUSD,9,12,9-12,USD Grades 9-12,PS124,14,17,PS,38684783830031,"1099 HAYES ST, SAN FRANCISCO, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.775013, -122.433899)"
Munchkinland Preschool And Family Daycare,Private,-2,-1,PK,Independent / Private,CDC110,3,4,CDC,,"4710 CABRILLO ST, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.773445, -122.509254)"
